time,x,y,z
1751975720.307,-398.096,435.494,255.026
1751975720.307,-398.096,435.494,255.026
1751975720.307,-398.096,435.494,255.026
1751975720.307,-398.096,435.494,255.026
1751975720.307,-398.096,435.494,255.026
1751975720.307,-398.096,435.494,255.026
1751975720.307,-398.096,435.494,255.026
1751975720.307,-398.096,435.494,255.026
1751975720.307,-398.096,435.494,255.026
1751975720.307,-398.096,435.494,255.026
1751975720.307,-398.096,435.494,255.026
1751975720.307,-398.096,435.494,255.026
1751975720.307,-398.096,435.494,255.026
1751975720.307,-398.096,435.494,255.026
1751975720.307,-398.096,435.494,255.026
1751975720.307,-398.096,435.494,255.026
1751975720.307,-398.096,435.494,255.026
1751975720.307,-398.096,435.494,255.026
1751975720.307,-398.096,435.494,255.026
1751975720.395,-398.126,435.491,255.026
1751975720.395,-398.126,435.491,255.026
1751975720.395,-398.126,435.491,255.026
1751975720.395,-398.126,435.491,255.026
1751975720.395,-398.126,435.491,255.026
1751975720.395,-398.126,435.491,255.026
1751975720.395,-398.126,435.491,255.026
1751975720.395,-398.126,435.491,255.026
1751975720.395,-398.126,435.491,255.026
1751975720.395,-398.126,435.491,255.026
1751975720.395,-398.126,435.491,255.026
1751975720.395,-398.126,435.491,255.026
1751975720.395,-398.126,435.491,255.026
1751975720.395,-398.126,435.491,255.026
1751975720.395,-398.126,435.491,255.026
1751975720.395,-398.126,435.491,255.026
1751975720.395,-398.126,435.491,255.026
1751975720.395,-398.126,435.491,255.026
1751975720.395,-398.126,435.491,255.026
1751975720.395,-398.126,435.491,255.026
1751975720.395,-398.126,435.491,255.026
1751975720.429,-398.118,435.478,255.031
1751975720.429,-398.118,435.478,255.031
1751975720.429,-398.118,435.478,255.031
1751975720.429,-398.118,435.478,255.031
1751975720.429,-398.118,435.478,255.031
1751975720.429,-398.118,435.478,255.031
1751975720.429,-398.118,435.478,255.031
1751975720.429,-398.118,435.478,255.031
1751975720.429,-398.118,435.478,255.031
1751975720.429,-398.118,435.478,255.031
1751975720.429,-398.118,435.478,255.031
1751975720.429,-398.118,435.478,255.031
1751975720.429,-398.118,435.478,255.031
1751975720.429,-398.118,435.478,255.031
1751975720.429,-398.118,435.478,255.031
1751975720.429,-398.118,435.478,255.031
1751975720.429,-398.118,435.478,255.031
1751975720.429,-398.118,435.478,255.031
1751975720.429,-398.118,435.478,255.031
1751975720.429,-398.118,435.478,255.031
1751975720.429,-398.118,435.478,255.031
1751975720.481,-398.104,435.473,255.026
1751975720.481,-398.104,435.473,255.026
1751975720.481,-398.104,435.473,255.026
1751975720.481,-398.104,435.473,255.026
1751975720.481,-398.104,435.473,255.026
1751975720.481,-398.104,435.473,255.026
1751975720.481,-398.104,435.473,255.026
1751975720.481,-398.104,435.473,255.026
1751975720.481,-398.104,435.473,255.026
1751975720.481,-398.104,435.473,255.026
1751975720.481,-398.104,435.473,255.026
1751975720.481,-398.104,435.473,255.026
1751975720.481,-398.104,435.473,255.026
1751975720.481,-398.104,435.473,255.026
1751975720.481,-398.104,435.473,255.026
1751975720.481,-398.104,435.473,255.026
1751975720.481,-398.104,435.473,255.026
1751975720.481,-398.104,435.473,255.026
1751975720.481,-398.104,435.473,255.026
1751975720.481,-398.104,435.473,255.026
1751975720.481,-398.104,435.473,255.026
1751975720.538,-398.124,435.474,255.036
1751975720.538,-398.124,435.474,255.036
1751975720.538,-398.124,435.474,255.036
1751975720.538,-398.124,435.474,255.036
1751975720.538,-398.124,435.474,255.036
1751975720.538,-398.124,435.474,255.036
1751975720.538,-398.124,435.474,255.036
1751975720.538,-398.124,435.474,255.036
1751975720.538,-398.124,435.474,255.036
1751975720.538,-398.124,435.474,255.036
1751975720.538,-398.124,435.474,255.036
1751975720.538,-398.124,435.474,255.036
1751975720.538,-398.124,435.474,255.036
1751975720.538,-398.124,435.474,255.036
1751975720.538,-398.124,435.474,255.036
1751975720.538,-398.124,435.474,255.036
1751975720.538,-398.124,435.474,255.036
1751975720.538,-398.124,435.474,255.036
1751975720.538,-398.124,435.474,255.036
1751975720.538,-398.124,435.474,255.036
1751975720.538,-398.124,435.474,255.036
1751975720.590,-398.121,435.495,255.021
1751975720.590,-398.121,435.495,255.021
1751975720.590,-398.121,435.495,255.021
1751975720.590,-398.121,435.495,255.021
1751975720.590,-398.121,435.495,255.021
1751975720.590,-398.121,435.495,255.021
1751975720.590,-398.121,435.495,255.021
1751975720.590,-398.121,435.495,255.021
1751975720.590,-398.121,435.495,255.021
1751975720.590,-398.121,435.495,255.021
1751975720.590,-398.121,435.495,255.021
1751975720.590,-398.121,435.495,255.021
1751975720.590,-398.121,435.495,255.021
1751975720.590,-398.121,435.495,255.021
1751975720.590,-398.121,435.495,255.021
1751975720.590,-398.121,435.495,255.021
1751975720.590,-398.121,435.495,255.021
1751975720.590,-398.121,435.495,255.021
1751975720.590,-398.121,435.495,255.021
1751975720.590,-398.121,435.495,255.021
1751975720.590,-398.121,435.495,255.021
1751975720.642,-398.112,435.484,255.032
1751975720.642,-398.112,435.484,255.032
1751975720.642,-398.112,435.484,255.032
1751975720.642,-398.112,435.484,255.032
1751975720.642,-398.112,435.484,255.032
1751975720.642,-398.112,435.484,255.032
1751975720.642,-398.112,435.484,255.032
1751975720.642,-398.112,435.484,255.032
1751975720.642,-398.112,435.484,255.032
1751975720.642,-398.112,435.484,255.032
1751975720.642,-398.112,435.484,255.032
1751975720.642,-398.112,435.484,255.032
1751975720.642,-398.112,435.484,255.032
